Zone,Academic_Region,Academies,Department_Codes
A,Auvergne-Rhône-Alpes,Académie de Clermont-Ferrand,"03;15;43;63"
A,Auvergne-Rhône-Alpes,Académie de Grenoble,"07;26;38;73;74"
A,Auvergne-Rhône-Alpes,Académie de Lyon,"01;42;69"
A,Bourgogne-Franche-Comté,Académie de Besançon,"25;39;70;90"
A,Bourgogne-Franche-Comté,Académie de Dijon,"21;58;71;89"
B,Bretagne,Académie de Rennes,"22;29;35;56"
B,Centre-Val de Loire,Académie d'Orléans-Tours,"18;28;36;37;41;45"
A,Corse,Académie de Corse,"2A;2B"
B,Grand Est,Académie de Nancy-Metz,"54;55;57;88"
B,Grand Est,Académie de Reims,"08;10;51;52"
B,Grand Est,Académie de Strasbourg,"67;68"
A,Guadeloupe,Académie de la Guadeloupe,"971"
A,Guyane,Académie de la Guyane,"973"
B,Hauts-de-France,Académie d'Amiens,"02;60;80"
B,Hauts-de-France,Académie de Lille,"59;62"
C,Île-de-France,Académie de Créteil,"77;93;94"
C,Île-de-France,Académie de Paris,"75"
C,Île-de-France,Académie de Versailles,"78;91;92;95"
A,Martinique,Académie de Martinique,"972"
B,Normandie,Académie de Normandie,"14;50;61;27;76"
A,Nouvelle-Aquitaine,Académie de Bordeaux,"24;33;40;47;64"
B,Nouvelle-Aquitaine,Académie de Limoges,"19;23;87"
B,Nouvelle-Aquitaine,Académie de Poitiers,"16;17;79;86"
C,Occitanie,Académie de Montpellier,"11;30;34;48;66"
C,Occitanie,Académie de Toulouse,"09;12;31;32;46;65;81;82"
B,Pays de la Loire,Académie de Nantes,"44;49;53;72;85"
B,Provence-Alpes-Côte d'Azur,Académie d'Aix-Marseille,"04;05;13;84"
B,Provence-Alpes-Côte d'Azur,Académie de Nice,"06;83"
C,La Réunion,Académie de La Réunion,"974"
C,Mayotte,Académie de Mayotte,"976"
